open,close,min,max
1.114065,1.114005,1.114005,1.114115
1.113985,1.114055,1.113945,1.114055
1.114085,1.114225,1.114055,1.114235
1.114235,1.114005,1.114005,1.114235
1.114005,1.114065,1.113895,1.114075
1.114075,1.113915,1.113915,1.114085
1.113905,1.113845,1.113825,1.113925
1.113845,1.113835,1.113745,1.113905
1.113825,1.113715,1.113675,1.113845
1.113715,1.113825,1.113695,1.113835
1.113815,1.113835,1.113775,1.113855
1.113835,1.113915,1.113775,1.113915
1.113905,1.113875,1.113875,1.113975
1.113865,1.113845,1.113845,1.113925
1.113825,1.113725,1.113665,1.113825
1.113725,1.113725,1.113655,1.113795
1.113735,1.113635,1.113635,1.113735
1.113635,1.113555,1.113535,1.113715
1.113545,1.113715,1.113545,1.113715
1.113725,1.113635,1.113615,1.113725
1.113645,1.113515,1.113505,1.113655
1.113505,1.113425,1.113405,1.113545
1.113415,1.113505,1.113345,1.113505
1.113475,1.113575,1.113435,1.113605
1.113575,1.113535,1.113535,1.113635
1.113535,1.113505,1.113475,1.113575
1.113485,1.113615,1.113485,1.113665
1.113615,1.113655,1.113585,1.113705
1.113665,1.113725,1.113595,1.113725
1.113705,1.113545,1.113465,1.113705
1.113535,1.113655,1.113455,1.113715
1.113655,1.113675,1.113545,1.113715
1.113675,1.113665,1.113625,1.113745
1.113665,1.113695,1.113525,1.113695
1.113675,1.113685,1.113645,1.113705
1.113675,1.113635,1.113575,1.113685
1.113635,1.113565,1.113455,1.113705
1.113555,1.113515,1.113505,1.113595
1.113505,1.113215,1.113205,1.113515
1.113215,1.112965,1.112945,1.113215
1.112975,1.112935,1.112885,1.113065
1.112935,1.113005,1.112905,1.113015
1.113015,1.113065,1.112975,1.113075
1.113075,1.112985,1.112895,1.113085
1.112985,1.113135,1.112985,1.113155
1.113145,1.113205,1.113115,1.113205
1.113225,1.113245,1.113165,1.113285
1.113305,1.113315,1.113265,1.113415
1.113315,1.113265,1.113265,1.113405
1.113265,1.113335,1.113205,1.113335
1.113345,1.113295,1.113285,1.113385
1.113285,1.113185,1.113175,1.113285
1.113175,1.113145,1.113055,1.113175
1.113155,1.113135,1.113135,1.113275
1.113125,1.113075,1.113025,1.113135
1.113085,1.113055,1.113005,1.113085
1.113035,1.112795,1.112725,1.113035
1.112805,1.112775,1.112645,1.112805
1.112775,1.112775,1.112695,1.112805
1.112745,1.112645,1.112605,1.112745
1.112645,1.112565,1.112525,1.112645
1.112545,1.112495,1.112485,1.112635
1.112515,1.112645,1.112505,1.112645
1.112645,1.112845,1.112625,1.112845
1.112835,1.112755,1.112745,1.112855
1.112755,1.112775,1.112755,1.112845
1.112775,1.112795,1.112735,1.112825
1.112805,1.112855,1.112765,1.112865
1.112845,1.112925,1.112835,1.112965
1.112915,1.112995,1.112915,1.113025
1.112995,1.113055,1.112955,1.113085
1.113065,1.113175,1.113065,1.113215
1.113175,1.113255,1.113145,1.113265
1.113265,1.113375,1.113255,1.113395
1.113385,1.113385,1.113325,1.113415
1.113395,1.113415,1.113325,1.113465
1.113375,1.113495,1.113305,1.113505
1.113495,1.113475,1.113445,1.113545
1.113485,1.113465,1.113445,1.113515
1.113465,1.113485,1.113405,1.113525
1.113445,1.113435,1.113335,1.113485
